Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,7,asymmetric,0.31,0.4536542323350967
100% Corpus,7,asymmetric,0.61,0.5112668908694855
100% Corpus,7,asymmetric,0.9099999999999999,0.5645961621082157
100% Corpus,7,asymmetric,symmetric,0.41593689956715474
100% Corpus,8,0.01,0.01,0.3695208817514623
100% Corpus,8,0.01,0.31,0.40788628654124115
100% Corpus,8,0.01,0.61,0.41788545181307346
100% Corpus,8,0.01,0.9099999999999999,0.5404361841259472
100% Corpus,8,0.01,symmetric,0.4067490702102773
100% Corpus,8,0.31,0.01,0.3275851987659101
100% Corpus,8,0.31,0.31,0.40113172794641305
100% Corpus,8,0.31,0.61,0.3878255139872626
100% Corpus,8,0.31,0.9099999999999999,0.45408684327339033
100% Corpus,8,0.31,symmetric,0.3699640188983322
100% Corpus,8,0.61,0.01,0.37999784570428563
100% Corpus,8,0.61,0.31,0.48269882883751514
100% Corpus,8,0.61,0.61,0.4529476875297306
100% Corpus,8,0.61,0.9099999999999999,0.4739022754050153
100% Corpus,8,0.61,symmetric,0.45812447072309415
100% Corpus,8,0.9099999999999999,0.01,0.43453907092986
100% Corpus,8,0.9099999999999999,0.31,0.5186375707190085
100% Corpus,8,0.9099999999999999,0.61,0.4917614187467282
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.4859026770449786
100% Corpus,8,0.9099999999999999,symmetric,0.49126663156632167
100% Corpus,8,symmetric,0.01,0.3854134564330004
100% Corpus,8,symmetric,0.31,0.4082451348852162
100% Corpus,8,symmetric,0.61,0.44822457853679326
100% Corpus,8,symmetric,0.9099999999999999,0.5362802658224124
100% Corpus,8,symmetric,symmetric,0.3947695821233823
100% Corpus,8,asymmetric,0.01,0.35600443704074325
100% Corpus,8,asymmetric,0.31,0.4678910117645172
100% Corpus,8,asymmetric,0.61,0.4427011978549116
100% Corpus,8,asymmetric,0.9099999999999999,0.48941090405221754
100% Corpus,8,asymmetric,symmetric,0.4215781725283435
100% Corpus,9,0.01,0.01,0.44222205530802494
100% Corpus,9,0.01,0.31,0.4626917350937199
100% Corpus,9,0.01,0.61,0.5336610514833016
100% Corpus,9,0.01,0.9099999999999999,0.5302437103718654
100% Corpus,9,0.01,symmetric,0.4222025511031496
100% Corpus,9,0.31,0.01,0.43426113792979826
